BENJAMIN,CHUMINO,1,1,Sí,Sí,Sí,No
ARI,CACA,2,2,Sí,Sí,Sí,Sí
SILVIA,CHICUELO,2,3,No,No,No,No
MANU,CHUQUI,3,4,Sí,Sí,Sí,No
DANI,PARRAS,4,5,No,Sí,Sí,Sí
POL,SICK,3,6,Sí,Sí,Sí,No
SHEILA,KAOS,5,7,Sí,Sí,Sí,No
NEUS,BRAVIUM,4,8,No,Sí,Sí,No
